년도,라운드,구단,감독,상대,득점,실점,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2024,20,인천,조성환,강원,0,1,37.4,0.87,326,4,41,198,87,26,121,179,108,141,77,5,374,0.1096256684,0.4786096257,0.2887700535
2024,20,강원,정경호,인천,1,0,62.6,0.91,499,11,107,312,80,40,228,231,151,210,138,2,548,0.1952554745,0.4215328467,0.2755474453
2024,21,인천,조성환,김천,1,1,48.2,0.85,420,9,48,206,166,34,155,231,151,161,108,6,494,0.0971659919,0.467611336,0.3056680162
2024,21,김천,정정용,인천,1,1,51.8,0.88,451,9,113,255,83,42,158,251,154,181,116,8,512,0.220703125,0.490234375,0.30078125
2024,21,수원FC,김은중,울산,1,1,38.5,0.84,340,7,57,178,105,34,134,172,107,140,93,4,404,0.1410891089,0.4257425743,0.2648514851
2024,21,울산,홍명보,수원FC,1,1,61.5,0.9,666,5,153,383,130,47,238,381,211,276,179,4,740,0.2067567568,0.5148648649,0.2851351351
2024,21,제주,김학범,서울,3,2,33.6,0.79,248,10,45,106,97,20,79,149,77,111,60,4,313,0.1437699681,0.4760383387,0.2460063898
2024,21,서울,김기동,제주,2,3,66.4,0.9,618,14,135,389,94,32,244,342,196,273,149,6,686,0.1967930029,0.4985422741,0.2857142857
2024,21,대구,박창현,포항,3,3,43.5,0.9,377,12,74,227,76,38,131,208,138,157,82,8,418,0.1770334928,0.4976076555,0.3301435407
2024,21,포항,박태하,대구,3,3,56.5,0.91,550,8,86,340,124,40,177,333,190,223,137,5,604,0.142384106,0.5513245033,0.3145695364
2024,21,대전,황선홍,전북,2,2,53.6,0.91,539,4,74,340,125,26,246,267,175,256,108,5,592,0.125,0.4510135135,0.2956081081
2024,21,전북,김두현,대전,2,2,46.4,0.89,478,4,79,278,121,29,141,308,146,214,118,2,537,0.147113594,0.573556797,0.2718808194
2024,21,강원,윤정환,광주,2,0,50.4,0.88,470,4,52,202,216,33,210,227,137,199,134,1,534,0.09737827715,0.425093633,0.2565543071
2024,21,광주,이정효,강원,0,2,49.6,0.88,389,10,72,200,117,27,187,175,117,172,100,5,442,0.1628959276,0.3959276018,0.2647058824
2024,22,대구,박창현,인천,0,0,49.5,0.82,354,8,73,212,69,43,125,186,152,119,83,6,431,0.1693735499,0.4315545244,0.3526682135
2024,22,인천,변재섭,대구,0,0,50.5,0.85,447,4,60,272,115,24,130,293,148,189,110,2,525,0.1142857143,0.5580952381,0.2819047619
2024,22,김천,정정용,수원FC,2,3,63.6,0.9,544,11,161,271,112,26,192,326,204,218,122,5,604,0.2665562914,0.5397350993,0.3377483444
2024,22,수원FC,김은중,김천,3,2,36.4,0.76,245,6,71,125,49,33,74,138,95,91,59,4,322,0.2204968944,0.4285714286,0.2950310559
2024,22,울산,홍명보,광주,0,1,55.2,0.9,562,9,181,270,111,44,227,291,183,219,160,6,624,0.2900641026,0.4663461538,0.2932692308
2024,22,광주,이정효,울산,1,0,44.8,0.91,356,9,78,166,112,24,152,180,126,141,89,3,391,0.199488491,0.4603580563,0.3222506394
2024,22,포항,김성재1,강원,2,0,51.3,0.91,510,3,38,280,192,34,208,268,152,225,133,1,560,0.06785714286,0.4785714286,0.2714285714
2024,22,강원,윤정환,포항,0,2,48.7,0.91,509,6,89,308,112,18,207,284,154,224,131,3,559,0.1592128801,0.5080500894,0.2754919499
2024,22,전북,김두현,제주,2,1,43.9,0.85,377,3,57,220,100,34,131,212,127,161,89,3,443,0.1286681716,0.4785553047,0.2866817156
2024,22,제주,김학범,전북,1,2,56.1,0.88,529,7,84,321,124,36,219,274,166,239,124,6,601,0.1397670549,0.455906822,0.2762063228
2024,22,서울,김기동,대전,2,1,56.8,0.89,575,12,143,370,62,30,196,349,176,266,133,4,646,0.2213622291,0.540247678,0.2724458204
2024,22,대전,황선홍,서울,1,2,43.2,0.84,371,7,49,180,142,37,127,207,126,136,109,6,441,0.1111111111,0.4693877551,0.2857142857
2024,23,울산,이경수,서울,1,0,55.2,0.87,457,2,82,231,144,36,168,253,154,180,123,1,525,0.1561904762,0.4819047619,0.2933333333
2024,23,서울,김기동,울산,0,1,44.8,0.86,396,4,100,220,76,32,128,236,138,166,92,6,460,0.2173913043,0.5130434783,0.3
