년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2024,1,울산,홍명보,포항,58.7,0.87,534,8,111,349,74,25,189,320,160,242,132,7,613.0,0.18107667210440456,0.5220228384991843,0.26101141924959215
2024,1,포항,박태하,울산,41.3,0.84,392,3,47,201,144,28,142,222,139,150,103,2,466.0,0.10085836909871244,0.47639484978540775,0.2982832618025751
2024,1,전북,페트레스쿠,대전,59.6,0.87,486,7,78,310,98,53,193,240,180,206,100,11,558.0,0.13978494623655913,0.43010752688172044,0.3225806451612903
2024,1,대전,이민성,전북,40.4,0.74,256,5,53,126,77,26,84,146,113,77,66,2,345.0,0.1536231884057971,0.42318840579710143,0.32753623188405795
2024,1,광주,이정효,서울,47.7,0.86,342,10,53,171,118,24,119,199,121,117,104,9,397.0,0.13350125944584382,0.5012594458438288,0.3047858942065491
2024,1,서울,김기동,광주,52.3,0.83,413,6,69,189,155,31,180,202,135,176,102,8,497.0,0.13883299798792756,0.40643863179074446,0.2716297786720322
2024,1,인천,조성환,수원FC,55.6,0.88,526,4,136,319,71,19,176,331,175,239,112,6,597.0,0.22780569514237856,0.5544388609715243,0.2931323283082077
2024,1,수원FC,김은중,인천,44.4,0.81,355,2,51,190,114,32,152,171,127,134,94,0,438.0,0.11643835616438356,0.3904109589041096,0.2899543378995434
2024,1,강원,윤정환,제주,48.3,0.83,376,10,63,185,128,24,148,204,133,140,103,3,453.0,0.1390728476821192,0.4503311258278146,0.293598233995585
2024,1,제주,김학범,강원,51.7,0.83,382,4,53,186,143,30,174,178,140,152,90,3,460.0,0.11521739130434783,0.3869565217391304,0.30434782608695654
2024,1,대구,최원권,김천,45.1,0.79,315,13,84,160,71,30,105,180,131,115,69,11,398.0,0.21105527638190955,0.45226130653266333,0.32914572864321606
2024,1,김천,정정용,대구,54.9,0.82,392,7,73,213,106,26,123,243,140,166,86,4,478.0,0.15271966527196654,0.5083682008368201,0.2928870292887029
2024,2,수원FC,김은중,전북,68.7,0.92,603,9,146,367,90,39,242,322,214,245,144,8,655.0,0.22290076335877862,0.4916030534351145,0.3267175572519084
2024,2,전북,페트레스쿠,수원FC,31.3,0.75,186,8,28,86,72,22,60,104,79,58,49,5,248.0,0.11290322580645161,0.41935483870967744,0.3185483870967742
2024,2,포항,박태하,대구,59.5,0.88,523,6,80,322,121,36,154,333,177,200,146,1,594.0,0.13468013468013468,0.5606060606060606,0.29797979797979796
2024,2,대구,최원권,포항,40.5,0.81,313,6,56,170,87,30,96,187,127,110,76,7,386.0,0.14507772020725387,0.4844559585492228,0.3290155440414508
