년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2023,25,서울,안익수,포항,44.1,0.87,411,8,80,226,105,25,148,238,140,177,94,3,472.0,0.1694915254237288,0.5042372881355932,0.2966101694915254
2023,25,포항,김기동,서울,55.9,0.91,568,6,59,332,177,39,253,276,159,274,135,4,624.0,0.09455128205128205,0.4423076923076923,0.2548076923076923
2023,25,광주,이정효,대전,46.7,0.83,279,8,46,126,107,38,103,138,115,95,69,4,336.0,0.13690476190476192,0.4107142857142857,0.34226190476190477
2023,25,대전,이민성,광주,53.3,0.82,378,6,74,211,93,31,165,182,122,148,108,4,460.0,0.1608695652173913,0.39565217391304347,0.26521739130434785
2023,25,수원,김병수,수원FC,51,0.88,436,7,68,262,106,28,131,277,156,182,98,6,495.0,0.13737373737373737,0.5595959595959596,0.3151515151515151
2023,25,수원FC,김도균,수원,49,0.86,356,6,42,203,111,43,157,156,135,128,93,2,413.0,0.1016949152542373,0.37772397094430993,0.3268765133171913
2023,25,대구,최원권,울산,29.4,0.8,199,6,40,96,63,18,70,111,89,74,36,3,248.0,0.16129032258064516,0.4475806451612903,0.3588709677419355
2023,25,울산,홍명보,대구,70.6,0.93,643,9,195,367,81,35,236,372,223,276,144,7,691.0,0.2821997105643994,0.5383502170767004,0.3227206946454414
2023,25,전북,페트레스쿠,인천,50.6,0.8,367,9,77,212,78,24,135,208,131,149,87,4,458.0,0.16812227074235808,0.45414847161572053,0.28602620087336245
2023,25,인천,조성환,전북,49.4,0.76,310,9,87,158,65,23,99,188,111,118,81,4,407.0,0.21375921375921375,0.4619164619164619,0.2727272727272727
2023,25,제주,남기일,강원,64.9,0.89,540,6,80,362,98,30,236,274,164,262,114,6,606.0,0.132013201320132,0.4521452145214521,0.2706270627062706
2023,25,강원,윤정환,제주,35.1,0.76,228,4,30,121,77,28,87,113,88,95,45,1,300.0,0.1,0.37666666666666665,0.29333333333333333
2023,26,전북,페트레스쿠,수원,55.4,0.87,461,6,78,267,116,40,181,240,179,182,100,4,529.0,0.14744801512287334,0.45368620037807184,0.3383742911153119
2023,26,수원,김병수,전북,44.6,0.81,333,1,51,164,118,19,108,206,113,139,81,1,411.0,0.12408759124087591,0.5012165450121655,0.2749391727493917
2023,26,강원,윤정환,울산,29.9,0.75,177,10,30,60,87,31,52,94,79,57,41,3,236.0,0.1271186440677966,0.3983050847457627,0.3347457627118644
2023,26,울산,홍명보,강원,70.1,0.9,619,9,196,341,82,54,218,347,207,260,152,8,687.0,0.2852983988355167,0.50509461426492,0.30131004366812225
2023,26,제주,남기일,수원FC,45.7,0.85,368,7,75,221,72,32,125,211,132,151,85,5,432.0,0.1736111111111111,0.48842592592592593,0.3055555555555556
2023,26,수원FC,김도균,제주,54.3,0.86,465,4,47,277,141,38,197,230,159,200,106,3,540.0,0.08703703703703704,0.42592592592592593,0.29444444444444445
2023,26,대전,이민성,서울,41.9,0.82,314,7,58,149,107,20,122,172,101,140,73,3,382.0,0.1518324607329843,0.450261780104712,0.2643979057591623
2023,26,서울,김진규,대전,58.1,0.88,546,11,90,334,122,30,203,313,196,204,146,7,620.0,0.14516129032258066,0.5048387096774194,0.3161290322580645
2023,26,인천,조성환,대구,46.4,0.84,387,8,39,255,93,34,136,217,119,172,96,1,460.0,0.08478260869565217,0.4717391304347826,0.25869565217391305
2023,26,대구,최원권,인천,53.6,0.9,471,3,86,292,93,48,179,244,167,211,93,3,523.0,0.16443594646271512,0.4665391969407266,0.3193116634799235
2023,26,포항,김기동,광주,51.4,0.89,516,8,30,243,243,34,253,229,136,243,137,6,579.0,0.05181347150259067,0.3955094991364421,0.23488773747841105
2023,26,광주,이정효,포항,48.6,0.88,360,5,92,198,70,20,152,188,115,155,90,2,409.0,0.22493887530562348,0.45965770171149145,0.28117359413202936
2023,27,수원,김병수,제주,52.8,0.82,391,4,47,219,125,26,131,234,137,169,85,2,476.0,0.09873949579831932,0.49159663865546216,0.28781512605042014
2023,27,제주,남기일,수원,47.2,0.8,301,11,43,188,70,25,104,172,106,121,74,13,376.0,0.11436170212765957,0.4574468085106383,0.28191489361702127
2023,27,인천,조성환,광주,32.7,0.83,305,5,25,175,105,32,112,161,97,115,93,3,367.0,0.0681198910081744,0.43869209809264303,0.26430517711171664
2023,27,광주,이정효,인천,67.3,0.92,576,9,186,319,71,40,252,284,202,234,140,8,626.0,0.2971246006389776,0.4536741214057508,0.3226837060702875
2023,27,울산,홍명보,전북,48.7,0.86,347,9,69,178,100,40,138,169,103,143,101,4,403.0,0.17121588089330025,0.41935483870967744,0.2555831265508685
2023,27,전북,페트레스쿠,울산,51.3,0.87,382,9,85,225,72,21,146,215,147,153,82,4,439.0,0.19362186788154898,0.489749430523918,0.3348519362186788
2023,27,강원,윤정환,수원FC,40.6,0.82,269,7,23,175,71,30,126,113,103,111,55,9,328.0,0.0701219512195122,0.3445121951219512,0.31402439024390244
2023,27,수원FC,김도균,강원,59.4,0.87,436,3,59,280,97,50,178,208,151,181,104,3,501.0,0.11776447105788423,0.4151696606786427,0.3013972055888224
2023,27,서울,안익수,대구,54.8,0.86,447,2,68,313,66,19,159,269,137,199,111,0,519.0,0.13102119460500963,0.5183044315992292,0.26396917148362237
2023,27,대구,최원권,서울,45.2,0.83,317,8,85,160,72,30,105,182,120,131,66,10,381.0,0.2230971128608924,0.4776902887139108,0.31496062992125984
2023,27,포항,김기동,대전,54.2,0.87,464,10,83,261,120,45,192,227,166,192,106,7,533.0,0.15572232645403378,0.425891181988743,0.31144465290806755
2023,27,대전,이민성,포항,45.8,0.85,386,10,93,217,76,30,120,236,138,157,91,5,454.0,0.20484581497797358,0.5198237885462555,0.3039647577092511
2023,28,수원FC,김도균,인천,54.1,0.88,439,9,48,300,91,46,175,218,155,180,104,6,498.0,0.0963855421686747,0.43775100401606426,0.3112449799196787
2023,28,인천,조성환,수원FC,45.9,0.85,385,8,72,228,85,28,126,231,131,153,101,9,452.0,0.1592920353982301,0.5110619469026548,0.28982300884955753
2023,28,전북,페트레스쿠,대전,48.9,0.8,316,6,56,176,84,35,131,150,120,122,74,5,395.0,0.14177215189873418,0.379746835443038,0.3037974683544304
2023,28,대전,이민성,전북,51.1,0.76,305,4,59,166,80,37,96,172,128,99,78,6,401.0,0.14713216957605985,0.428927680798005,0.3192019950124688
2023,28,대구,최원권,제주,39.8,0.82,277,9,53,135,89,30,101,146,119,107,51,5,337.0,0.1572700296735905,0.4332344213649852,0.35311572700296734
2023,28,제주,남기일,대구,60.2,0.88,452,8,87,306,59,37,162,253,136,212,104,10,513.0,0.1695906432748538,0.49317738791423,0.2651072124756335
2023,28,강원,윤정환,포항,238,,238,2,28,125,85,31,76,131,90,87,61,4,,,,
2023,28,포항,김기동,강원,598,,598,6,119,357,122,54,263,281,173,273,152,4,,,,
2023,28,서울,김진규,울산,43.8,0.87,402,11,85,182,135,22,150,230,145,161,96,6,462.0,0.18398268398268397,0.49783549783549785,0.31385281385281383
2023,28,울산,홍명보,서울,56.2,0.9,496,9,81,314,101,45,201,250,164,211,121,6,551.0,0.147005444646098,0.4537205081669691,0.29764065335753176
2023,28,광주,이정효,수원,54.9,0.89,396,11,70,233,93,34,170,192,138,164,94,6,444.0,0.15765765765765766,0.43243243243243246,0.3108108108108108
2023,28,수원,김병수,광주,45.1,0.83,349,4,48,168,133,37,136,176,127,132,90,3,420.0,0.11428571428571428,0.41904761904761906,0.30238095238095236
2023,29,대전,이민성,수원FC,65.2,0.86,539,7,125,339,75,42,217,280,184,223,132,7,626.0,0.19968051118210864,0.4472843450479233,0.2939297124600639
2023,29,수원FC,김도균,대전,34.8,0.74,227,4,33,119,75,21,80,126,89,82,56,3,306.0,0.10784313725490197,0.4117647058823529,0.2908496732026144
2023,29,대구,최원권,강원,45.4,0.82,322,10,67,168,87,32,113,177,120,128,74,5,392.0,0.17091836734693877,0.45153061224489793,0.30612244897959184
2023,29,강원,윤정환,대구,54.6,0.84,436,3,50,299,87,48,188,200,171,168,97,3,519.0,0.09633911368015415,0.3853564547206166,0.32947976878612717
2023,29,수원,김병수,서울,53.2,0.84,403,12,59,251,93,40,132,231,142,173,88,9,479.0,0.12317327766179541,0.4822546972860125,0.2964509394572025
2023,29,서울,김진규,수원,46.8,0.85,328,10,49,171,108,21,118,189,125,116,87,6,385.0,0.12727272727272726,0.4909090909090909,0.3246753246753247
2023,29,인천,조성환,포항,42,0.76,269,9,52,138,79,21,99,149,94,107,68,5,353.0,0.14730878186968838,0.42209631728045327,0.26628895184135976
