년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2024,7,전북,박원재,광주,43.6,0.84,372,6,69,164,139,29,156,187,125,146,101,4,442.0,0.15610859728506787,0.4230769230769231,0.2828054298642534
2024,7,광주,이정효,전북,56.4,0.86,438,6,53,260,125,23,163,252,135,199,104,3,509.0,0.10412573673870335,0.4950884086444008,0.26522593320235754
2024,7,서울,김기동,포항,57.9,0.91,559,10,82,343,134,36,259,264,157,277,125,8,614.0,0.13355048859934854,0.42996742671009774,0.255700325732899
2024,7,포항,박태하,서울,42.1,0.88,359,4,47,149,163,36,152,171,134,140,85,3,407.0,0.11547911547911548,0.4201474201474201,0.32923832923832924
2024,7,울산,홍명보,강원,50.2,0.92,509,11,79,253,177,36,207,266,158,211,140,6,553.0,0.14285714285714285,0.4810126582278481,0.2857142857142857
2024,7,강원,윤정환,울산,49.8,0.9,481,4,45,269,167,28,194,259,155,195,131,2,534.0,0.08426966292134831,0.4850187265917603,0.2902621722846442
2024,7,제주,김학범,김천,46.3,0.78,347,3,75,183,89,33,110,204,143,126,78,4,444.0,0.16891891891891891,0.4594594594594595,0.32207207207207206
2024,7,김천,정정용,제주,53.7,0.8,381,10,79,171,131,49,116,216,145,125,111,7,476.0,0.16596638655462184,0.453781512605042,0.30462184873949577
2024,7,수원FC,김은중,대전,41.2,0.8,302,4,50,171,81,36,103,163,114,107,81,1,377.0,0.13262599469496023,0.4323607427055703,0.30238726790450926
2024,7,대전,이민성,수원FC,58.8,0.87,509,2,104,293,112,29,184,296,170,216,123,5,585.0,0.17777777777777778,0.505982905982906,0.2905982905982906
2024,7,인천,조성환,대구,57.5,0.88,506,7,41,378,87,26,191,289,129,261,116,6,575.0,0.07130434782608695,0.5026086956521739,0.22434782608695653
2024,7,대구,최원권,인천,42.5,0.83,387,3,57,215,115,20,134,233,152,143,92,4,466.0,0.1223175965665236,0.5,0.3261802575107296
2024,8,광주,이정효,울산,49.7,0.89,443,7,113,231,99,26,198,219,167,160,116,5,497.0,0.22736418511066397,0.44064386317907445,0.33601609657947684
2024,8,울산,홍명보,광주,50.3,0.87,492,6,57,216,219,39,237,216,166,180,146,5,565.0,0.10088495575221239,0.3823008849557522,0.2938053097345133
2024,8,수원FC,김은중,제주,63.6,0.86,538,6,104,288,146,36,207,295,208,201,129,3,625.0,0.1664,0.472,0.3328
2024,8,제주,김학범,수원FC,36.4,0.76,248,9,54,131,63,21,83,144,117,85,46,8,326.0,0.1656441717791411,0.44171779141104295,0.3588957055214724
2024,8,포항,박태하,김천,53.4,0.85,434,5,83,225,126,48,187,199,135,197,102,9,510.0,0.1627450980392157,0.39019607843137255,0.2647058823529412
2024,8,김천,정정용,포항,46.6,0.84,407,7,49,256,102,20,163,224,151,164,92,3,484.0,0.1012396694214876,0.4628099173553719,0.3119834710743802
2024,8,서울,김기동,전북,53.2,0.84,432,9,60,237,135,37,154,241,151,170,111,7,514.0,0.11673151750972763,0.4688715953307393,0.29377431906614787
