년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2023,12,울산,홍명보,강원,68.7,0.91,671,3,182,386,103,48,245,378,231,260,180,3,737.0,0.24694708276797828,0.5128900949796472,0.31343283582089554
2023,12,강원,최용수,울산,31.3,0.77,271,4,43,145,83,14,97,160,95,110,66,2,351.0,0.1225071225071225,0.45584045584045585,0.2706552706552707
2023,12,대구,최원권,포항,38.8,0.7,224,7,42,114,68,27,74,123,90,75,59,5,320.0,0.13125,0.384375,0.28125
2023,12,포항,김기동,대구,61.2,0.86,527,6,54,355,118,44,213,270,161,242,124,4,612.0,0.08823529411764706,0.4411764705882353,0.2630718954248366
2023,12,서울,안익수,광주,48,0.86,467,4,58,226,183,35,227,205,145,192,130,3,543.0,0.10681399631675875,0.3775322283609576,0.26703499079189685
2023,12,광주,이정효,서울,52,0.87,472,2,57,258,157,19,186,267,146,209,117,0,542.0,0.10516605166051661,0.492619926199262,0.2693726937269373
2023,12,제주,남기일,인천,38.1,0.78,307,11,44,185,78,30,113,164,106,119,82,6,393.0,0.11195928753180662,0.4173027989821883,0.2697201017811705
2023,12,인천,조성환,제주,61.9,0.88,591,3,79,390,122,27,213,351,154,282,155,3,671.0,0.11773472429210134,0.5230998509687034,0.22950819672131148
2023,12,수원,김병수,전북,38.2,0.82,319,4,29,192,98,32,122,165,104,133,82,2,389.0,0.07455012853470437,0.4241645244215938,0.26735218508997427
2023,12,전북,김두현,수원,61.8,0.92,689,8,135,411,143,29,198,462,234,277,178,6,748.0,0.1804812834224599,0.6176470588235294,0.31283422459893045
2023,12,대전,이민성,수원FC,44.2,0.78,290,3,40,160,90,41,79,170,110,99,81,2,371.0,0.1078167115902965,0.4582210242587601,0.29649595687331537
2023,12,수원FC,김도균,대전,55.8,0.83,450,12,69,251,130,31,170,249,163,186,101,6,542.0,0.12730627306273062,0.45940959409594095,0.3007380073800738
2023,13,포항,김기동,대전,57.7,0.81,366,12,64,223,79,45,131,190,116,160,90,10,451.0,0.1419068736141907,0.4212860310421286,0.2572062084257206
2023,13,대전,이민성,포항,42.3,0.73,229,3,46,121,62,20,73,136,76,82,71,3,313.0,0.14696485623003194,0.43450479233226835,0.24281150159744408
2023,13,광주,이정효,대구,70.4,0.91,579,7,139,376,64,33,238,308,180,277,122,6,636.0,0.21855345911949686,0.48427672955974843,0.2830188679245283
2023,13,대구,최원권,광주,29.6,0.71,201,4,37,68,96,23,85,93,83,80,38,1,283.0,0.13074204946996468,0.3286219081272085,0.29328621908127206
2023,13,강원,최용수,수원,52.6,0.86,497,6,99,322,76,34,192,271,175,191,131,6,577.0,0.17157712305025996,0.4696707105719237,0.30329289428076256
2023,13,수원,김병수,강원,47.4,0.85,422,3,42,290,90,34,155,233,145,176,101,1,496.0,0.0846774193548387,0.46975806451612906,0.2923387096774194
2023,13,울산,홍명보,서울,40.7,0.82,334,8,69,163,102,21,112,201,127,108,99,5,407.0,0.16953316953316952,0.49385749385749383,0.31203931203931207
2023,13,서울,안익수,울산,59.3,0.87,566,7,113,293,160,30,254,282,188,244,134,7,650.0,0.17384615384615384,0.4338461538461538,0.28923076923076924
2023,13,인천,조성환,전북,39.5,0.79,264,5,47,143,74,24,80,160,97,100,67,7,334.0,0.1407185628742515,0.47904191616766467,0.2904191616766467
2023,13,전북,김두현,인천,60.5,0.88,463,4,68,265,130,35,181,247,168,183,112,2,526.0,0.12927756653992395,0.4695817490494297,0.3193916349809886
2023,13,수원FC,김도균,제주,53.3,0.86,455,5,60,271,124,44,165,246,167,190,98,3,529.0,0.11342155009451796,0.46502835538752363,0.31568998109640833
2023,13,제주,남기일,수원FC,46.7,0.84,340,7,72,208,60,33,116,191,131,119,90,8,404.0,0.1782178217821782,0.47277227722772275,0.32425742574257427

