년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2023,9,포항,김기동,수원,56.6,0.87,481,7,81,314,86,44,161,276,155,199,127,5,552.0,0.14673913043478262,0.5,0.2807971014492754
2023,9,수원,최성용,포항,43.4,0.81,338,1,22,196,120,34,109,195,115,132,91,3,417.0,0.05275779376498801,0.4676258992805755,0.27577937649880097
2023,9,인천,조성환,울산,47,0.83,408,6,59,231,118,23,153,232,142,167,99,6,491.0,0.12016293279022404,0.4725050916496945,0.2892057026476578
2023,9,울산,홍명보,인천,53,0.83,505,7,104,275,126,36,135,334,171,194,140,2,608.0,0.17105263157894737,0.5493421052631579,0.28125
2023,9,강원,최용수,서울,32,0.69,204,5,48,112,44,12,72,120,77,68,59,5,295.0,0.16271186440677965,0.4067796610169492,0.26101694915254237
2023,9,서울,안익수,강원,68,0.89,640,7,75,446,119,47,282,311,198,283,159,9,719.0,0.1043115438108484,0.4325452016689847,0.2753824756606398
2023,9,광주,이정효,제주,64,0.89,516,12,88,308,120,37,199,280,157,238,121,13,579.0,0.15198618307426598,0.4835924006908463,0.2711571675302245
2023,9,제주,남기일,광주,36,0.81,277,2,49,131,97,24,104,149,101,90,86,1,341.0,0.1436950146627566,0.436950146627566,0.2961876832844575
2023,9,전북,김두현,대전,51.4,0.78,377,7,98,167,112,34,107,236,147,142,88,11,483.0,0.2028985507246377,0.4886128364389234,0.30434782608695654
2023,9,대전,이민성,전북,48.6,0.77,314,5,62,200,52,27,87,200,103,120,91,2,407.0,0.15233415233415235,0.4914004914004914,0.25307125307125306
2023,9,수원FC,김도균,대구,63.2,0.89,566,9,73,397,96,64,234,268,175,245,146,8,635.0,0.11496062992125984,0.4220472440944882,0.2755905511811024
2023,9,대구,최원권,수원FC,36.8,0.78,256,13,68,127,61,31,99,126,104,91,61,11,328.0,0.2073170731707317,0.38414634146341464,0.3170731707317073
2023,10,수원FC,김도균,서울,40.7,0.81,351,7,53,167,131,36,126,189,129,121,101,3,433.0,0.12240184757505773,0.43648960739030024,0.2979214780600462
