년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2024,36,전남,이장관,천안,56.3,0.83,378,2,62,223,93,34,144,200,135,148,95,2,455.0,0.13626373626373625,0.43956043956043955,0.2967032967032967
2024,36,천안,김태완,전남,43.7,0.85,369,6,52,203,114,28,133,208,141,143,85,4,434.0,0.11981566820276497,0.4792626728110599,0.3248847926267281
2024,36,충북청주,권오규,안양,52.8,0.86,396,6,48,210,138,28,130,238,147,156,93,4,460.0,0.10434782608695652,0.5173913043478261,0.31956521739130433
2024,36,안양,유병훈,충북청주,47.2,0.83,344,9,58,218,68,26,147,171,113,145,86,5,414.0,0.14009661835748793,0.41304347826086957,0.27294685990338163
2024,36,안산,이관우,부천,38.4,0.81,312,5,41,165,106,31,93,188,118,110,84,2,385.0,0.10649350649350649,0.4883116883116883,0.3064935064935065
2024,36,부천,이영민,안산,61.6,0.91,651,11,105,430,116,33,234,384,201,285,165,2,715.0,0.14685314685314685,0.5370629370629371,0.2811188811188811
2024,36,김포,고정운,수원,30.1,0.68,165,5,28,84,53,23,55,87,77,58,30,2,242.0,0.11570247933884298,0.359504132231405,0.3181818181818182
2024,36,수원,변성환,김포,69.9,0.89,582,7,84,394,104,41,266,275,186,250,146,3,653.0,0.12863705972434916,0.4211332312404288,0.28483920367534454
2024,36,서울E,김도균,충남아산,62.2,0.89,558,10,70,366,122,50,213,295,179,250,129,6,626.0,0.11182108626198083,0.4712460063897764,0.28594249201277955
2024,36,충남아산,김현석,서울E,37.8,0.77,265,4,38,129,98,37,114,114,104,102,59,2,344.0,0.11046511627906977,0.3313953488372093,0.3023255813953488
2024,36,경남,권우경,성남,42.4,0.87,369,7,51,218,100,24,141,204,117,161,91,2,424.0,0.12028301886792453,0.4811320754716981,0.2759433962264151
2024,36,성남,전경준,경남,57.6,0.92,527,2,103,349,75,22,195,310,161,235,131,4,572.0,0.18006993006993008,0.541958041958042,0.28146853146853146
2024,37,부산,조성환,충북청주,59.1,0.85,520,7,64,260,196,39,198,283,169,223,128,5,611.0,0.10474631751227496,0.46317512274959083,0.2765957446808511
2024,37,충북청주,권오규,부산,40.9,0.76,317,7,43,174,100,21,101,195,109,116,92,4,417.0,0.10311750599520383,0.4676258992805755,0.26139088729016785
2024,37,안양,유병훈,전남,46,0.85,363,9,87,208,68,27,133,203,139,130,94,3,427.0,0.20374707259953162,0.47540983606557374,0.3255269320843091
2024,37,전남,이장관,안양,54,0.84,353,3,36,188,129,31,118,204,137,130,86,1,420.0,0.08571428571428572,0.4857142857142857,0.3261904761904762
2024,37,천안,김태완,부천,47.1,0.8,353,10,60,182,111,19,138,196,124,153,76,3,441.0,0.1360544217687075,0.4444444444444444,0.2811791383219955
2024,37,부천,이영민,천안,52.9,0.84,408,9,42,254,112,25,143,240,117,193,98,6,485.0,0.0865979381443299,0.4948453608247423,0.24123711340206186
2024,37,수원,변성환,충남아산,52.1,0.81,351,14,61,214,76,42,143,166,113,152,86,7,433.0,0.14087759815242495,0.3833718244803695,0.26096997690531176
2024,37,충남아산,김현석,수원,47.9,0.76,271,11,60,135,76,37,111,123,103,93,75,5,356.0,0.16853932584269662,0.3455056179775281,0.2893258426966292
2024,37,서울E,김도균,성남,50.8,0.85,460,7,65,339,56,41,179,240,141,224,95,7,541.0,0.12014787430683918,0.4436229205175601,0.26062846580406657
2024,37,성남,전경준,서울E,49.2,0.84,414,6,35,213,166,23,178,213,129,196,89,5,492.0,0.07113821138211382,0.4329268292682927,0.2621951219512195
2024,37,안산,이관우,경남,51.4,0.87,468,2,68,284,116,30,177,261,163,196,109,2,537.0,0.1266294227188082,0.4860335195530726,0.30353817504655495
2024,37,경남,권우경,안산,48.6,0.86,420,9,63,248,109,29,166,225,145,173,102,7,488.0,0.1290983606557377,0.4610655737704918,0.29713114754098363
2024,38,부천,이영민,안양,394,,394,2,65,248,81,19,153,222,120,178,96,2,,,,
2024,38,안양,유병훈,부천,370,,370,7,76,228,66,24,142,204,145,134,91,2,,,,
2024,38,천안,김태완,부산,54.7,0.89,524,7,80,319,125,33,224,267,187,223,114,9,588.0,0.1360544217687075,0.45408163265306123,0.31802721088435376
2024,38,부산,조성환,천안,45.3,0.83,397,7,60,198,139,29,122,246,146,141,110,3,478.0,0.12552301255230125,0.5146443514644351,0.3054393305439331
2024,38,경남,권우경,서울E,54.2,0.87,513,4,69,302,142,29,197,287,180,207,126,3,589.0,0.11714770797962648,0.4872665534804754,0.30560271646859083
2024,38,서울E,김도균,경남,45.8,0.86,416,10,48,232,136,24,155,237,140,168,108,8,483.0,0.09937888198757763,0.4906832298136646,0.2898550724637681
2024,38,전남,이장관,충북청주,47.1,0.8,344,1,38,155,151,21,129,194,132,105,107,4,430.0,0.08837209302325581,0.4511627906976744,0.30697674418604654
2024,38,충북청주,권오규,전남,52.9,0.88,499,9,94,311,94,16,156,327,174,201,124,3,567.0,0.1657848324514991,0.5767195767195767,0.30687830687830686
2024,38,수원,변성환,안산,55.6,0.87,403,12,56,275,72,51,203,149,126,186,91,9,463.0,0.12095032397408208,0.32181425485961124,0.27213822894168466
2024,38,안산,이관우,수원,44.4,0.82,345,4,47,166,132,20,121,204,131,115,99,1,420.0,0.11190476190476191,0.4857142857142857,0.3119047619047619
2024,38,성남,전경준,김포,63.1,0.9,504,1,84,280,140,24,188,292,182,180,142,3,560.0,0.15,0.5214285714285715,0.325
2024,38,김포,고정운,성남,36.9,0.8,240,7,49,137,54,24,94,122,102,86,52,5,300.0,0.16333333333333333,0.4066666666666667,0.34
2024,39,부산,조성환,부천,55.1,0.89,530,9,87,352,91,40,192,298,175,211,144,4,595.0,0.146218487394958,0.5008403361344538,0.29411764705882354
2024,39,부천,이영민,부산,44.9,0.84,375,7,55,234,86,24,104,247,130,161,84,5,446.0,0.12331838565022421,0.5538116591928252,0.2914798206278027
2024,39,김포,고정운,천안,46.4,0.81,297,6,34,162,101,33,128,136,109,119,69,7,366.0,0.09289617486338798,0.37158469945355194,0.2978142076502732
2024,39,천안,김태완,김포,53.6,0.86,392,10,67,200,125,16,127,249,153,143,96,12,455.0,0.14725274725274726,0.5472527472527473,0.3362637362637363
2024,39,안양,유병훈,경남,50.4,0.88,437,5,76,247,114,39,153,245,162,152,123,3,496.0,0.1532258064516129,0.4939516129032258,0.32661290322580644
2024,39,경남,권우경,안양,49.6,0.88,442,7,91,202,149,31,121,290,152,187,103,3,502.0,0.18127490039840638,0.5776892430278885,0.30278884462151395
2024,39,충북청주,권오규,충남아산,41.9,0.74,274,11,52,141,81,30,92,152,104,94,76,6,370.0,0.14054054054054055,0.41081081081081083,0.2810810810810811
2024,39,충남아산,김현석,충북청주,58.1,0.86,405,6,56,249,100,43,171,191,146,158,101,2,470.0,0.11914893617021277,0.40638297872340423,0.31063829787234043
2024,39,서울E,김도균,전남,63,0.89,630,12,115,426,89,46,235,349,188,282,160,14,707.0,0.16265912305516267,0.49363507779349364,0.26591230551626593
2024,39,전남,이장관,서울E,37,0.81,287,7,26,136,125,29,94,164,113,97,77,0,354.0,0.07344632768361582,0.4632768361581921,0.3192090395480226
2024,39,안산,이관우,성남,58,0.9,580,13,144,327,109,20,217,343,178,264,138,3,644.0,0.2236024844720497,0.532608695652174,0.27639751552795033
2024,39,성남,전경준,안산,42,0.83,329,2,32,176,121,15,116,198,117,131,81,3,396.0,0.08080808080808081,0.5,0.29545454545454547
2024,40,전남,이장관,부산,44.1,0.81,375,2,50,179,146,35,129,211,122,141,112,0,462.0,0.10822510822510822,0.45670995670995673,0.26406926406926406
2024,40,부산,조성환,전남,55.9,0.87,544,7,100,327,117,39,174,331,198,221,125,9,625.0,0.16,0.5296,0.3168
2024,41,서울E,김도균,전남,45.8,0.83,353,7,75,203,75,23,135,195,121,151,81,6,425.0,0.17647058823529413,0.4588235294117647,0.2847058823529412
2024,41,전남,이장관,서울E,54.2,0.83,395,3,79,247,69,31,167,197,123,170,102,0,475.0,0.16631578947368422,0.4147368421052632,0.25894736842105265
