년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2024,32,충남아산,김현석,천안,69.9,0.9,552,11,132,304,116,56,194,302,212,203,137,9,613.0,0.21533442088091354,0.4926590538336052,0.3458401305057096
2024,32,천안,김태완,충남아산,30.1,0.7,163,3,19,60,84,32,47,84,79,53,31,2,232.0,0.08189655172413793,0.3620689655172414,0.34051724137931033
2024,32,서울E,김도균,안양,54.3,0.88,439,9,62,266,111,34,179,226,140,206,93,7,498.0,0.12449799196787148,0.4538152610441767,0.28112449799196787
2024,32,안양,유병훈,서울E,45.7,0.82,384,2,54,240,90,18,147,219,120,171,93,1,468.0,0.11538461538461539,0.46794871794871795,0.2564102564102564
2024,32,안산,이관우,충북청주,45.9,0.79,331,4,68,162,101,26,117,188,129,113,89,3,418.0,0.16267942583732056,0.44976076555023925,0.30861244019138756
2024,32,충북청주,최윤겸,안산,54.1,0.84,442,7,53,254,135,39,138,265,154,170,118,3,526.0,0.10076045627376426,0.5038022813688213,0.29277566539923955
2024,32,수원,변성환,부산,52.4,0.84,481,5,76,317,88,23,218,240,158,216,107,4,572.0,0.13286713286713286,0.4195804195804196,0.2762237762237762
2024,32,부산,조성환,수원,47.6,0.83,389,6,57,210,122,28,129,232,99,177,113,3,468.0,0.12179487179487179,0.49572649572649574,0.21153846153846154
2024,32,경남,권우경,김포,47.1,0.77,318,6,28,187,103,36,114,168,118,110,90,3,412.0,0.06796116504854369,0.4077669902912621,0.28640776699029125
2024,32,김포,고정운,경남,52.9,0.82,361,14,48,224,89,28,146,187,129,155,77,11,440.0,0.10909090909090909,0.425,0.29318181818181815
2024,32,부천,이영민,성남,53.9,0.9,543,11,103,316,124,29,149,365,157,244,142,8,603.0,0.17081260364842454,0.6053067993366501,0.2603648424543947
2024,32,성남,전경준,부천,46.1,0.87,406,7,62,219,125,15,113,278,134,161,111,5,466.0,0.13304721030042918,0.5965665236051502,0.2875536480686695
2024,33,안양,유병훈,충남아산,65,0.9,582,12,125,354,103,36,200,346,185,282,115,6,646.0,0.19349845201238391,0.5356037151702786,0.28637770897832815
2024,33,충남아산,김현석,안양,35,0.78,223,3,31,116,76,27,77,119,90,88,45,0,285.0,0.10877192982456141,0.41754385964912283,0.3157894736842105
2024,33,경남,권우경,수원,52.4,0.87,463,3,46,208,209,36,184,243,164,197,102,2,532.0,0.08646616541353383,0.4567669172932331,0.3082706766917293
2024,33,수원,변성환,경남,47.6,0.87,448,19,93,265,90,21,171,256,163,186,99,6,514.0,0.18093385214007782,0.4980544747081712,0.31712062256809337
2024,33,안산,이관우,부산,56.9,0.89,533,5,138,324,71,21,200,312,158,251,124,7,598.0,0.23076923076923078,0.5217391304347826,0.26421404682274247
2024,33,부산,조성환,안산,43.1,0.85,382,10,60,175,147,28,123,231,133,153,96,7,449.0,0.133630289532294,0.5144766146993318,0.2962138084632517
2024,33,충북청주,최윤겸,성남,53.3,0.84,427,3,65,243,119,35,151,241,135,179,113,0,508.0,0.1279527559055118,0.4744094488188976,0.265748031496063
2024,33,성남,전경준,충북청주,46.7,0.76,319,5,47,156,116,24,116,179,118,107,94,3,419.0,0.11217183770883055,0.42720763723150357,0.28162291169451076
2024,33,전남,김영욱,부천,58.4,0.87,439,10,88,252,99,44,153,242,165,163,111,6,504.0,0.1746031746031746,0.4801587301587302,0.3273809523809524
2024,33,부천,이영민,전남,41.6,0.83,362,5,37,209,116,21,105,236,119,157,86,3,436.0,0.08486238532110092,0.5412844036697247,0.27293577981651373
2024,33,서울E,김도균,김포,69.3,0.92,573,17,158,326,89,41,211,321,182,236,155,12,622.0,0.2540192926045016,0.5160771704180064,0.29260450160771706
2024,33,김포,고정운,서울E,30.7,0.61,126,2,22,70,34,11,48,67,50,51,25,2,206.0,0.10679611650485436,0.32524271844660196,0.24271844660194175
2024,34,부산,조성환,서울E,50,0.86,467,8,54,220,193,36,170,261,154,211,102,3,543.0,0.09944751381215469,0.48066298342541436,0.283609576427256
2024,34,서울E,김도균,부산,50,0.88,472,6,67,288,117,44,161,267,155,194,123,5,536.0,0.125,0.498134328358209,0.2891791044776119
