년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2023,35,전북,페트레스쿠,포항,46.8,0.79,330,8,72,164,94,26,118,186,124,130,76,5,417.0,0.17266187050359713,0.4460431654676259,0.2973621103117506
2023,35,포항,김기동,전북,53.2,0.84,410,10,58,212,140,34,172,204,140,156,114,3,488.0,0.11885245901639344,0.4180327868852459,0.28688524590163933
2023,35,광주,이정효,인천,74.1,0.89,580,8,134,349,97,59,274,247,203,226,151,8,651.0,0.20583717357910905,0.3794162826420891,0.3118279569892473
2023,35,인천,조성환,광주,25.9,0.73,172,1,39,83,50,22,68,82,61,60,51,0,235.0,0.16595744680851063,0.34893617021276596,0.25957446808510637
2023,35,강원,윤정환,제주,49.7,0.8,375,9,96,195,84,45,142,188,126,137,112,4,468.0,0.20512820512820512,0.4017094017094017,0.2692307692307692
2023,35,제주,정조국,강원,50.3,0.81,416,4,53,209,154,49,170,197,160,158,98,9,513.0,0.10331384015594541,0.3840155945419103,0.31189083820662766
2023,35,울산,홍명보,대구,72.6,0.91,741,7,162,452,127,48,258,435,230,345,166,4,814.0,0.19901719901719903,0.5343980343980343,0.28255528255528256
2023,35,대구,최원권,울산,27.4,0.76,218,5,30,108,80,29,63,126,114,61,43,3,286.0,0.1048951048951049,0.4405594405594406,0.3986013986013986
2023,35,수원,염기훈,대전,36,0.76,227,6,45,123,59,26,84,117,85,92,50,1,298.0,0.15100671140939598,0.3926174496644295,0.28523489932885904
2023,35,대전,이민성,수원,64,0.87,491,5,101,312,78,32,211,248,170,211,110,8,564.0,0.17907801418439717,0.4397163120567376,0.30141843971631205
2023,35,수원FC,김도균,서울,47,0.85,423,8,65,242,116,44,171,208,146,164,113,9,497.0,0.13078470824949698,0.41851106639839036,0.2937625754527163
2023,35,서울,김진규,수원FC,53,0.89,508,10,101,301,106,37,192,279,192,177,139,8,570.0,0.17719298245614035,0.48947368421052634,0.3368421052631579
2023,36,대전,이민성,강원,54.2,0.77,386,2,50,212,124,39,150,197,146,139,101,4,501.0,0.0998003992015968,0.3932135728542914,0.29141716566866266
2023,36,강원,윤정환,대전,45.8,0.77,332,6,53,181,98,30,123,179,136,99,97,4,431.0,0.12296983758700696,0.41531322505800466,0.31554524361948955
2023,36,대구,최원권,광주,34.2,0.81,316,7,63,172,81,42,106,168,125,108,83,5,390.0,0.16153846153846155,0.4307692307692308,0.32051282051282054
2023,36,광주,이정효,대구,65.8,0.93,608,8,126,392,90,31,189,388,174,287,147,2,653.0,0.19295558958652373,0.5941807044410413,0.2664624808575804
2023,36,제주,정조국,서울,53.2,0.87,482,8,63,281,138,26,218,238,171,215,96,10,554.0,0.11371841155234658,0.4296028880866426,0.30866425992779783
2023,36,서울,김진규,제주,46.8,0.86,457,4,64,243,150,26,165,266,180,164,113,5,531.0,0.12052730696798493,0.5009416195856874,0.3389830508474576
2023,36,인천,조성환,전북,43.4,0.82,333,5,39,195,99,22,111,200,129,113,91,4,406.0,0.0960591133004926,0.49261083743842365,0.31773399014778325
2023,36,전북,페트레스쿠,인천,56.6,0.87,513,3,106,314,93,21,206,286,198,204,111,8,589.0,0.1799660441426146,0.4855687606112054,0.3361629881154499
2023,36,수원FC,김도균,수원,70.3,0.92,579,19,173,318,88,58,215,306,208,230,141,19,629.0,0.27503974562798095,0.4864864864864865,0.33068362480127184
2023,36,수원,염기훈,수원FC,29.7,0.67,154,9,30,59,65,21,59,74,81,43,30,2,229.0,0.13100436681222707,0.3231441048034934,0.3537117903930131
2023,36,울산,홍명보,포항,49.7,0.83,400,6,85,193,122,25,136,239,139,160,101,7,481.0,0.17671517671517672,0.4968814968814969,0.288981288981289
2023,36,포항,김기동,울산,50.3,0.86,488,10,93,253,142,35,147,306,160,208,120,7,567.0,0.164021164021164,0.5396825396825397,0.2821869488536155
