년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2024,28,전남,이장관,경남,66.1,0.92,466,11,128,240,98,37,184,245,172,187,107,3,506.0,0.25296442687747034,0.4841897233201581,0.33992094861660077
2024,28,경남,박동혁,전남,33.9,0.8,229,4,33,115,81,25,81,123,84,94,51,1,286.0,0.11538461538461539,0.43006993006993005,0.2937062937062937
2024,28,부산,조성환,김포,63.6,0.88,547,3,64,348,135,28,177,342,179,221,147,5,621.0,0.10305958132045089,0.5507246376811594,0.2882447665056361
2024,28,김포,고정운,부산,36.4,0.78,268,8,31,158,79,28,79,161,111,98,59,4,343.0,0.09037900874635568,0.46938775510204084,0.3236151603498542
2024,28,충남아산,김현석,부천,56.8,0.78,310,3,76,171,63,28,84,198,115,122,73,4,397.0,0.19143576826196473,0.4987405541561713,0.28967254408060455
2024,28,부천,이영민,충남아산,43.2,0.68,187,5,53,86,48,28,51,108,94,60,33,3,275.0,0.19272727272727272,0.3927272727272727,0.3418181818181818
2024,28,성남,김해운,안양,52,0.85,373,7,51,201,121,18,149,206,135,152,86,4,438.0,0.11643835616438356,0.4703196347031963,0.3082191780821918
2024,28,안양,유병훈,성남,48,0.89,387,9,78,222,87,31,158,198,132,164,91,3,434.0,0.17972350230414746,0.45622119815668205,0.30414746543778803
2024,28,서울E,김도균,수원,47.4,0.82,333,5,54,132,147,23,139,171,111,139,83,4,406.0,0.1330049261083744,0.4211822660098522,0.2733990147783251
2024,28,수원,변성환,서울E,52.6,0.88,438,10,81,242,115,30,197,211,159,180,99,3,497.0,0.16297786720321933,0.4245472837022133,0.3199195171026157
2024,28,천안,김태완,안산,50.8,0.85,411,7,54,251,106,32,164,215,145,165,101,2,483.0,0.11180124223602485,0.4451345755693582,0.3002070393374741
2024,28,안산,이관우,천안,49.2,0.85,397,7,43,208,146,32,139,226,136,152,109,3,467.0,0.09207708779443255,0.48394004282655245,0.291220556745182
2024,29,충북청주,최윤겸,수원,43,0.73,232,5,37,104,91,22,74,136,92,77,63,2,317.0,0.1167192429022082,0.42902208201892744,0.2902208201892745
2024,29,수원,변성환,충북청주,57,0.82,380,6,59,213,108,35,175,170,144,140,96,2,463.0,0.12742980561555076,0.367170626349892,0.31101511879049676
2024,29,안양,유병훈,천안,49.7,0.85,382,10,70,217,95,30,149,203,136,141,105,6,449.0,0.155902004454343,0.4521158129175947,0.3028953229398664
2024,29,천안,김태완,안양,50.3,0.83,355,3,47,200,108,47,154,154,109,166,80,2,427.0,0.11007025761124122,0.36065573770491804,0.25526932084309134
