년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2024,26,전북,김두현,광주,48.7,0.92,524,7,115,289,120,17,181,326,166,238,120,6,569.0,0.20210896309314588,0.5729349736379613,0.29173989455184535
2024,26,광주,이정효,전북,51.3,0.9,402,3,40,210,152,42,187,173,119,167,116,2,446.0,0.08968609865470852,0.38789237668161436,0.26681614349775784
2024,26,김천,정정용,강원,42.9,0.86,294,4,62,174,58,26,141,127,111,118,65,5,341.0,0.18181818181818182,0.3724340175953079,0.3255131964809384
2024,26,강원,윤정환,김천,57.1,0.89,443,3,62,268,113,26,163,254,135,186,122,3,497.0,0.12474849094567404,0.5110663983903421,0.2716297786720322
2024,26,울산,김판곤,대구,56.4,0.86,434,7,84,239,111,22,162,250,155,177,102,4,504.0,0.16666666666666666,0.49603174603174605,0.30753968253968256
2024,26,대구,박창현,울산,43.6,0.8,289,3,72,144,73,38,94,157,111,106,72,3,361.0,0.1994459833795014,0.43490304709141275,0.3074792243767313
2024,26,제주,김학범,인천,47.8,0.88,457,2,91,277,89,52,150,255,147,179,131,2,519.0,0.17533718689788053,0.4913294797687861,0.2832369942196532
2024,26,인천,최영근,제주,52.2,0.88,489,8,76,285,128,35,161,293,157,225,107,3,555.0,0.13693693693693693,0.527927927927928,0.2828828828828829
2024,26,수원FC,김은중,대전,56.2,0.87,458,13,143,228,87,35,182,241,158,189,111,14,526.0,0.2718631178707224,0.45817490494296575,0.30038022813688214
2024,26,대전,황선홍,수원FC,43.8,0.81,326,8,37,199,90,25,111,190,118,121,87,3,402.0,0.09203980099502487,0.472636815920398,0.2935323383084577
2024,26,포항,박태하,서울,58.4,0.87,448,10,80,301,67,25,184,239,162,181,105,10,514.0,0.1556420233463035,0.4649805447470817,0.3151750972762646
2024,26,서울,김기동,포항,41.6,0.81,284,3,29,167,88,26,111,147,103,105,76,0,350.0,0.08285714285714285,0.42,0.29428571428571426
2024,27,대구,박창현,김천,48.2,0.84,330,5,67,142,121,46,104,180,135,120,75,1,392.0,0.17091836734693877,0.45918367346938777,0.34438775510204084
2024,27,김천,정정용,대구,51.8,0.84,368,9,80,212,76,16,126,226,161,146,61,6,438.0,0.182648401826484,0.5159817351598174,0.3675799086757991
2024,27,서울,김기동,제주,48.2,0.83,361,4,42,195,124,32,130,199,117,155,89,2,434.0,0.0967741935483871,0.45852534562211983,0.2695852534562212
2024,27,제주,김학범,서울,51.8,0.85,408,8,72,248,88,25,147,236,149,155,104,4,480.0,0.15,0.49166666666666664,0.3104166666666667
2024,27,전북,김두현,포항,42,0.85,356,7,83,194,79,33,128,195,133,145,78,4,418.0,0.19856459330143542,0.4665071770334928,0.3181818181818182
2024,27,포항,박태하,전북,58,0.89,493,3,85,262,146,28,192,273,146,219,128,2,553.0,0.15370705244122965,0.4936708860759494,0.2640144665461121
2024,27,대전,황선홍,인천,41.4,0.88,337,4,33,147,157,25,129,183,117,143,77,1,382.0,0.08638743455497382,0.4790575916230366,0.306282722513089
2024,27,인천,최영근,대전,58.6,0.91,564,11,120,357,87,27,200,337,164,248,152,4,619.0,0.1938610662358643,0.5444264943457189,0.2649434571890145
2024,27,울산,김판곤,수원FC,63.1,0.91,533,8,76,304,153,28,168,337,181,225,127,3,585.0,0.12991452991452992,0.576068376068376,0.3094017094017094
2024,27,수원FC,김은중,울산,36.9,0.81,292,10,84,154,54,30,107,155,103,97,92,4,360.0,0.23333333333333334,0.4305555555555556,0.2861111111111111
2024,27,강원,윤정환,광주,36.7,0.85,303,8,50,177,76,32,121,150,94,122,87,7,356.0,0.1404494382022472,0.42134831460674155,0.2640449438202247
