년도,라운드,구단,감독,상대,점유율,패스성공률(%),패스 성공,키패스,공격진영 패스,중앙지역 패스,수비진영 패스,롱패스,중거리패스,단거리패스,전방패스,횡패스,후방패스,크로스,패스,공격진영 패스 비율,단거리패스 비율,전방패스 비율
2023,37,인천,조성환,울산,36.3,0.8,312,8,43,155,114,24,89,199,120,107,85,5,390.0,0.11025641025641025,0.5102564102564102,0.3076923076923077
2023,37,울산,홍명보,인천,63.7,0.88,692,9,134,457,101,34,250,408,209,331,152,1,786.0,0.17048346055979643,0.5190839694656488,0.26590330788804073
2023,37,전북,페트레스쿠,광주,28.9,0.77,247,6,39,129,79,30,95,122,95,91,61,3,320.0,0.121875,0.38125,0.296875
2023,37,광주,이정효,전북,71.1,0.89,628,3,115,399,114,25,221,382,176,292,160,3,705.0,0.16312056737588654,0.5418439716312057,0.24964539007092199
2023,37,제주,정조국,대전,53.2,0.83,447,3,97,192,158,47,143,257,166,159,122,2,538.0,0.18029739776951673,0.47769516728624534,0.30855018587360594
2023,37,대전,이민성,제주,46.8,0.75,295,8,42,152,101,38,109,148,108,103,84,5,393.0,0.10687022900763359,0.37659033078880405,0.2748091603053435
2023,37,포항,김기동,대구,60.9,0.86,540,3,102,349,89,41,159,340,164,252,124,3,627.0,0.16267942583732056,0.5422647527910686,0.26156299840510366
2023,37,대구,최원권,포항,39.1,0.8,290,9,47,146,97,29,93,168,131,84,75,5,362.0,0.1298342541436464,0.46408839779005523,0.36187845303867405
2023,37,서울,김진규,수원,64.7,0.87,568,2,133,341,94,35,182,351,196,230,142,3,652.0,0.20398773006134968,0.5383435582822086,0.3006134969325153
2023,37,수원,염기훈,서울,35.3,0.69,215,6,43,87,85,20,87,108,100,70,45,5,311.0,0.1382636655948553,0.34726688102893893,0.3215434083601286
2023,37,강원,윤정환,수원FC,43.4,0.8,381,7,48,175,158,37,157,187,140,147,94,6,476.0,0.10084033613445378,0.39285714285714285,0.29411764705882354
2023,37,수원FC,김도균,강원,56.6,0.82,527,8,83,294,150,56,206,265,193,187,147,13,642.0,0.1292834890965732,0.4127725856697819,0.30062305295950154
2023,38,대전,이민성,서울,52.6,0.85,458,9,79,284,95,39,176,243,143,198,117,4,538.0,0.14684014869888476,0.4516728624535316,0.26579925650557623
2023,38,서울,김진규,대전,47.4,0.86,467,9,59,238,170,29,144,294,159,174,134,4,543.0,0.10865561694290976,0.5414364640883977,0.292817679558011
2023,38,수원FC,김도균,제주,41.6,0.84,361,8,79,197,85,45,119,197,139,127,95,9,429.0,0.18414918414918416,0.4592074592074592,0.32400932400932403
2023,38,제주,정조국,수원FC,58.4,0.88,568,5,66,336,166,44,198,326,185,228,155,4,645.0,0.10232558139534884,0.5054263565891473,0.2868217054263566
2023,38,수원,염기훈,강원,40.2,0.72,263,5,29,161,73,25,104,134,109,94,60,3,365.0,0.07945205479452055,0.36712328767123287,0.29863013698630136
2023,38,강원,정경호,수원,59.8,0.84,483,9,79,313,91,30,218,235,156,208,119,6,575.0,0.1373913043478261,0.40869565217391307,0.271304347826087
2023,38,울산,홍명보,전북,49.3,0.85,399,10,68,196,135,40,145,214,151,139,109,5,469.0,0.14498933901918976,0.4562899786780384,0.32196162046908317
2023,38,전북,페트레스쿠,울산,50.7,0.82,427,4,58,224,145,34,158,235,162,168,97,3,520.0,0.11153846153846154,0.4519230769230769,0.31153846153846154
2023,38,광주,이정효,포항,71.5,0.92,536,13,264,206,66,25,190,321,175,257,104,12,582.0,0.4536082474226804,0.5515463917525774,0.3006872852233677
2023,38,포항,김기동,광주,28.5,0.68,151,2,5,38,108,21,70,60,47,62,42,2,222.0,0.02252252252252252,0.2702702702702703,0.21171171171171171
2023,38,대구,최원권,인천,45.3,0.84,387,7,44,271,72,23,137,227,147,151,89,6,460.0,0.09565217391304348,0.4934782608695652,0.31956521739130433
2023,38,인천,조성환,대구,54.7,0.88,544,7,71,356,117,32,177,335,194,235,115,1,618.0,0.11488673139158576,0.5420711974110033,0.313915857605178
